date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:24:58	554/554	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:d6045f1ae1c5bf59657cdd5b6ff298df%22	https://samridhini.com/robots.txt		(from )
20:24:58	941456/941456	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:aac26d30ad739985057d5a8235cdba39%22	https://samridhini.com/	C:/My%20Web%20Sites/botique/samridhini.com/index.html	(from )
20:24:59	8509/8509	---MCZ	200	added ('OK')	text/css	etag:W/%2268384cb4-213d%22	https://fastrr-boost-ui.pickrr.com/assets/styles/shopify.css	C:/My%20Web%20Sites/botique/fastrr-boost-ui.pickrr.com/assets/styles/shopify.css	(from https://samridhini.com/)
20:24:59	62818/62818	---MCZ	200	added ('OK')	application/javascript	etag:W/%22685164ca-f562%22	https://fastrr-boost-ui.pickrr.com/assets/js/channels/shopify.js	C:/My%20Web%20Sites/botique/fastrr-boost-ui.pickrr.com/assets/js/channels/shopify.js	(from https://samridhini.com/)
20:24:59	18764/18764	---MCZ	200	added ('OK')	application/javascript	etag:W/%226851649e-494c%22	https://fastrr-boost-ui.pickrr.com/assets/js/channels/shiprocketMarketing.js	C:/My%20Web%20Sites/botique/fastrr-boost-ui.pickrr.com/assets/js/channels/shiprocketMarketing.js	(from https://samridhini.com/)
20:25:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Jun%202025%2014:54:59%20GMT	http://samridhini.com/cdn/shop/t/3/assets/grid.css?v=20886961665468048011738317374	C:/My%20Web%20Sites/botique/samridhini.com/cdn/shop/t/3/assets/grid.3efe5.delayed	(from https://samridhini.com/)
20:25:00	23440/23440	---MCZ	200	added ('OK')	text/css	date:Fri,%2031%20Jan%202025%2009:59:35%20GMT	https://samridhini.com/cdn/shop/t/3/assets/grid.css?v=20886961665468048011738317374	C:/My%20Web%20Sites/botique/samridhini.com/cdn/shop/t/3/assets/gridefe5.css	(from https://samridhini.com/)
20:25:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Jun%202025%2014:55:00%20GMT	http://samridhini.com/cdn/shop/t/3/assets/base.css?v=131849222732871144361738317374	C:/My%20Web%20Sites/botique/samridhini.com/cdn/shop/t/3/assets/base9700.css	(from https://samridhini.com/)
20:25:00	40023/40023	---MCZ	200	added ('OK')	text/css	date:Fri,%2031%20Jan%202025%2009:59:35%20GMT	https://samridhini.com/cdn/shop/t/3/assets/base.css?v=131849222732871144361738317374	C:/My%20Web%20Sites/botique/samridhini.com/cdn/shop/t/3/assets/base9700.css	(from https://samridhini.com/)
20:25:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Jun%202025%2014:55:01%20GMT	http://samridhini.com/cdn/shop/t/3/assets/modules.css?v=163896756263041597361738317374	C:/My%20Web%20Sites/botique/samridhini.com/cdn/shop/t/3/assets/modulesd741.css	(from https://samridhini.com/)
